Data;Ora;€/MWh
07/04/2025;1;89,90
07/04/2025;2;88,60
07/04/2025;3;85,02
07/04/2025;4;87,30
07/04/2025;5;88,98
07/04/2025;6;95,10
07/04/2025;7;132,32
07/04/2025;8;173,58
07/04/2025;9;143,45
07/04/2025;10;117,34
07/04/2025;11;111,00
07/04/2025;12;99,63
07/04/2025;13;75,00
07/04/2025;14;70,00
07/04/2025;15;86,18
07/04/2025;16;86,18
07/04/2025;17;97,39
07/04/2025;18;105,80
07/04/2025;19;129,46
07/04/2025;20;152,74
07/04/2025;21;162,60
07/04/2025;22;136,34
07/04/2025;23;122,91
07/04/2025;24;110,00
08/04/2025;1;97,09
08/04/2025;2;93,09
08/04/2025;3;93,09
08/04/2025;4;93,60
08/04/2025;5;95,76
08/04/2025;6;112,00
08/04/2025;7;145,90
08/04/2025;8;169,77
08/04/2025;9;136,77
08/04/2025;10;103,66
08/04/2025;11;94,40
08/04/2025;12;82,80
08/04/2025;13;65,50
08/04/2025;14;60,67
08/04/2025;15;75,00
08/04/2025;16;84,14
08/04/2025;17;90,50
08/04/2025;18;100,14
08/04/2025;19;123,53
08/04/2025;20;159,98
08/04/2025;21;162,05
08/04/2025;22;139,52
08/04/2025;23;120,50
08/04/2025;24;111,10
09/04/2025;1;109,65
09/04/2025;2;102,00
09/04/2025;3;99,96
09/04/2025;4;100,20
09/04/2025;5;101,47
09/04/2025;6;110,23
09/04/2025;7;145,00
09/04/2025;8;175,00
09/04/2025;9;143,37
09/04/2025;10;117,51
09/04/2025;11;110,85
09/04/2025;12;104,12
09/04/2025;13;81,67
09/04/2025;14;81,67
09/04/2025;15;93,80
09/04/2025;16;97,10
09/04/2025;17;104,54
09/04/2025;18;109,90
09/04/2025;19;124,26
09/04/2025;20;148,90
09/04/2025;21;151,33
09/04/2025;22;128,00
09/04/2025;23;118,80
09/04/2025;24;110,85
10/04/2025;1;102,91
10/04/2025;2;97,10
10/04/2025;3;95,83
10/04/2025;4;95,15
10/04/2025;5;97,10
10/04/2025;6;101,38
10/04/2025;7;125,28
10/04/2025;8;156,92
10/04/2025;9;137,75
10/04/2025;10;113,81
10/04/2025;11;107,58
10/04/2025;12;97,10
10/04/2025;13;67,00
10/04/2025;14;61,45
10/04/2025;15;70,00
10/04/2025;16;76,41
10/04/2025;17;85,00
10/04/2025;18;95,38
10/04/2025;19;112,07
10/04/2025;20;141,96
10/04/2025;21;149,89
10/04/2025;22;125,75
10/04/2025;23;111,64
10/04/2025;24;105,67
11/04/2025;1;99,04
11/04/2025;2;94,84
11/04/2025;3;94,51
11/04/2025;4;93,87
11/04/2025;5;94,13
11/04/2025;6;97,10
11/04/2025;7;118,83
11/04/2025;8;148,47
11/04/2025;9;128,61
11/04/2025;10;104,04
11/04/2025;11;107,08
11/04/2025;12;97,10
11/04/2025;13;63,22
11/04/2025;14;50,00
11/04/2025;15;58,00
11/04/2025;16;66,41
11/04/2025;17;75,00
11/04/2025;18;92,58
11/04/2025;19;118,83
11/04/2025;20;130,61
11/04/2025;21;149,34
11/04/2025;22;123,30
11/04/2025;23;116,00
11/04/2025;24;111,46
12/04/2025;1;112,00
12/04/2025;2;103,40
12/04/2025;3;99,60
12/04/2025;4;98,51
12/04/2025;5;98,51
12/04/2025;6;103,88
12/04/2025;7;112,13
12/04/2025;8;113,00
12/04/2025;9;99,90
12/04/2025;10;88,10
12/04/2025;11;41,00
12/04/2025;12;15,56
12/04/2025;13;12,05
12/04/2025;14;12,28
12/04/2025;15;26,59
12/04/2025;16;47,00
12/04/2025;17;68,40
12/04/2025;18;90,50
12/04/2025;19;116,55
12/04/2025;20;128,81
12/04/2025;21;136,76
12/04/2025;22;118,56
12/04/2025;23;113,85
12/04/2025;24;102,32
13/04/2025;1;97,10
13/04/2025;2;90,27
13/04/2025;3;86,97
13/04/2025;4;81,90
13/04/2025;5;81,43
13/04/2025;6;84,00
13/04/2025;7;89,57
13/04/2025;8;93,53
13/04/2025;9;93,49
13/04/2025;10;98,20
13/04/2025;11;102,11
13/04/2025;12;97,67
13/04/2025;13;95,85
13/04/2025;14;90,19
13/04/2025;15;90,17
13/04/2025;16;92,39
13/04/2025;17;90,95
13/04/2025;18;90,01
13/04/2025;19;107,44
13/04/2025;20;119,37
13/04/2025;21;121,44
13/04/2025;22;115,90
13/04/2025;23;107,72
13/04/2025;24;99,67
