Date,Hour,Price (Euro/MWh)
01/01/2019,1,51.00
01/01/2019,2,46.27
01/01/2019,3,39.78
01/01/2019,4,27.87
01/01/2019,5,22.00
01/01/2019,6,20.00
01/01/2019,7,20.90
01/01/2019,8,26.54
01/01/2019,9,25.00
01/01/2019,10,25.00
01/01/2019,11,34.64
01/01/2019,12,41.03
01/01/2019,13,48.97
01/01/2019,14,41.06
01/01/2019,15,37.95
01/01/2019,16,53.59
01/01/2019,17,58.65
01/01/2019,18,64.64
01/01/2019,19,65.00
01/01/2019,20,65.56
01/01/2019,21,64.23
01/01/2019,22,61.72
01/01/2019,23,58.65
01/01/2019,24,54.91
02/01/2019,1,53.11
02/01/2019,2,45.87
02/01/2019,3,39.15
02/01/2019,4,36.00
02/01/2019,5,39.00
02/01/2019,6,39.00
02/01/2019,7,53.10
02/01/2019,8,65.41
02/01/2019,9,70.00
02/01/2019,10,69.19
02/01/2019,11,65.64
02/01/2019,12,64.00
02/01/2019,13,62.80
02/01/2019,14,58.65
02/01/2019,15,59.84
02/01/2019,16,65.00
02/01/2019,17,66.63
02/01/2019,18,72.69
02/01/2019,19,73.00
02/01/2019,20,73.56
02/01/2019,21,66.63
02/01/2019,22,61.29
02/01/2019,23,58.65
02/01/2019,24,54.31
03/01/2019,1,47.03
03/01/2019,2,45.93
03/01/2019,3,45.91
03/01/2019,4,44.00
03/01/2019,5,43.88
03/01/2019,6,45.92
03/01/2019,7,55.10
03/01/2019,8,66.58
03/01/2019,9,69.60
03/01/2019,10,69.70
03/01/2019,11,69.19
03/01/2019,12,68.01
03/01/2019,13,67.20
03/01/2019,14,66.70
03/01/2019,15,67.00
03/01/2019,16,68.01
03/01/2019,17,68.99
03/01/2019,18,73.00
03/01/2019,19,73.43
03/01/2019,20,70.55
03/01/2019,21,68.38
03/01/2019,22,61.72
03/01/2019,23,59.84
03/01/2019,24,58.65
04/01/2019,1,55.52
04/01/2019,2,52.91
04/01/2019,3,49.61
04/01/2019,4,47.41
04/01/2019,5,47.00
04/01/2019,6,52.99
04/01/2019,7,64.82
04/01/2019,8,73.93
04/01/2019,9,75.04
04/01/2019,10,73.43
04/01/2019,11,71.58
04/01/2019,12,70.16
04/01/2019,13,70.16
04/01/2019,14,69.17
04/01/2019,15,69.15
04/01/2019,16,68.40
04/01/2019,17,73.22
04/01/2019,18,75.00
04/01/2019,19,77.23
04/01/2019,20,75.97
04/01/2019,21,73.95
04/01/2019,22,70.00
04/01/2019,23,68.68
04/01/2019,24,65.92
05/01/2019,1,71.68
05/01/2019,2,63.74
05/01/2019,3,60.00
05/01/2019,4,55.84
05/01/2019,5,53.50
05/01/2019,6,54.40
05/01/2019,7,61.45
05/01/2019,8,70.70
05/01/2019,9,73.95
05/01/2019,10,73.41
