air_temp,ghi,period_end,period
20,0,2025-07-07T00:15:00+00:00,PT15M
20,0,2025-07-07T00:30:00+00:00,PT15M
20,0,2025-07-07T00:45:00+00:00,PT15M
20,0,2025-07-07T01:00:00+00:00,PT15M
20,0,2025-07-07T01:15:00+00:00,PT15M
20,0,2025-07-07T01:30:00+00:00,PT15M
20,0,2025-07-07T01:45:00+00:00,PT15M
20,0,2025-07-07T02:00:00+00:00,PT15M
19,0,2025-07-07T02:15:00+00:00,PT15M
19,0,2025-07-07T02:30:00+00:00,PT15M
19,0,2025-07-07T02:45:00+00:00,PT15M
19,0,2025-07-07T03:00:00+00:00,PT15M
19,0,2025-07-07T03:15:00+00:00,PT15M
19,0,2025-07-07T03:30:00+00:00,PT15M
19,1,2025-07-07T03:45:00+00:00,PT15M
19,12,2025-07-07T04:00:00+00:00,PT15M
19,26,2025-07-07T04:15:00+00:00,PT15M
19,35,2025-07-07T04:30:00+00:00,PT15M
19,41,2025-07-07T04:45:00+00:00,PT15M
19,64,2025-07-07T05:00:00+00:00,PT15M
19,80,2025-07-07T05:15:00+00:00,PT15M
19,82,2025-07-07T05:30:00+00:00,PT15M
19,92,2025-07-07T05:45:00+00:00,PT15M
19,83,2025-07-07T06:00:00+00:00,PT15M
19,133,2025-07-07T06:15:00+00:00,PT15M
19,138,2025-07-07T06:30:00+00:00,PT15M
19,171,2025-07-07T06:45:00+00:00,PT15M
19,254,2025-07-07T07:00:00+00:00,PT15M
19,298,2025-07-07T07:15:00+00:00,PT15M
19,345,2025-07-07T07:30:00+00:00,PT15M
19,291,2025-07-07T07:45:00+00:00,PT15M
19,247,2025-07-07T08:00:00+00:00,PT15M
20,196,2025-07-07T08:15:00+00:00,PT15M
20,187,2025-07-07T08:30:00+00:00,PT15M
20,257,2025-07-07T08:45:00+00:00,PT15M
21,553,2025-07-07T09:00:00+00:00,PT15M
21,777,2025-07-07T09:15:00+00:00,PT15M
21,812,2025-07-07T09:30:00+00:00,PT15M
22,834,2025-07-07T09:45:00+00:00,PT15M
22,854,2025-07-07T10:00:00+00:00,PT15M
22,870,2025-07-07T10:15:00+00:00,PT15M
23,882,2025-07-07T10:30:00+00:00,PT15M
23,891,2025-07-07T10:45:00+00:00,PT15M
24,896,2025-07-07T11:00:00+00:00,PT15M
24,896,2025-07-07T11:15:00+00:00,PT15M
24,896,2025-07-07T11:30:00+00:00,PT15M
25,895,2025-07-07T11:45:00+00:00,PT15M
25,867,2025-07-07T12:00:00+00:00,PT15M
25,849,2025-07-07T12:15:00+00:00,PT15M
25,816,2025-07-07T12:30:00+00:00,PT15M
25,809,2025-07-07T12:45:00+00:00,PT15M
25,824,2025-07-07T13:00:00+00:00,PT15M
25,765,2025-07-07T13:15:00+00:00,PT15M
25,720,2025-07-07T13:30:00+00:00,PT15M
25,738,2025-07-07T13:45:00+00:00,PT15M
26,723,2025-07-07T14:00:00+00:00,PT15M
26,694,2025-07-07T14:15:00+00:00,PT15M
26,659,2025-07-07T14:30:00+00:00,PT15M
26,623,2025-07-07T14:45:00+00:00,PT15M
26,514,2025-07-07T15:00:00+00:00,PT15M
