Time,PvYield,InverterYield,GridFeedIn,PurchasedFromNet
01/01/2024 00:00:00,0,0,0,41.22
01/01/2024 01:00:00,0,0,0,41.47
01/01/2024 02:00:00,0,0,0,41.73
01/01/2024 03:00:00,0,0,0,41.72
01/01/2024 04:00:00,0,0,0,40.2
01/01/2024 05:00:00,0,0,0,39.42
01/01/2024 06:00:00,0,0,0,39.68
01/01/2024 07:00:00,0.17,0.17,0,38.91
01/01/2024 08:00:00,9.96,9.96,0,26.63
01/01/2024 09:00:00,35.22,35.22,2.95,3.84
01/01/2024 10:00:00,157.1,157.1,113.79,0
01/01/2024 11:00:00,270.19,270.19,219.52,0
01/01/2024 12:00:00,255.17,255.17,204.54,0
01/01/2024 13:00:00,231.21,231.21,181.76,0
01/01/2024 14:00:00,146.7,146.7,103.62,0
01/01/2024 15:00:00,56.13,56.13,19.65,1.02
01/01/2024 16:00:00,5.43,5.43,0,32
01/01/2024 17:00:00,0,0,0,40.19
01/01/2024 18:00:00,0,0,0,40.96
01/01/2024 19:00:00,0,0,0,40.19
01/01/2024 20:00:00,0,0,0,40.71
01/01/2024 21:00:00,0,0,0,40.19
01/01/2024 22:00:00,0,0,0,40.96
01/01/2024 23:00:00,0,0,0,40.96
01/02/2024 00:00:00,0,0,0,39.68
01/02/2024 01:00:00,0,0,0,38.91
01/02/2024 02:00:00,0,0,0,39.43
01/02/2024 03:00:00,0,0,0,39.93
01/02/2024 04:00:00,0,0,0,39.94
01/02/2024 05:00:00,0,0,0,39.17
01/02/2024 06:00:00,0,0,0,38.65
01/02/2024 07:00:00,0.67,0.67,0,37.89
01/02/2024 08:00:00,31.04,31.04,5.63,11.01
01/02/2024 09:00:00,103.29,103.29,62.4,0
01/02/2024 10:00:00,119.86,119.86,77.76,0
01/02/2024 11:00:00,170.33,170.33,125.25,0
01/02/2024 12:00:00,226.11,226.11,178.05,0
01/02/2024 13:00:00,251.94,251.94,202.43,0
01/02/2024 14:00:00,150.93,150.93,107.65,0
01/02/2024 15:00:00,41.71,41.71,5.31,1.28
01/02/2024 16:00:00,4.09,4.09,0,34.56
01/02/2024 17:00:00,0,0,0,41.47
01/02/2024 18:00:00,0,0,0,40.45
01/02/2024 19:00:00,0,0,0,41.21
01/02/2024 20:00:00,0,0,0,40.71
01/02/2024 21:00:00,0,0,0,39.93
01/02/2024 22:00:00,0,0,0,40.45
01/02/2024 23:00:00,0,0,0,39.68
01/03/2024 00:00:00,0,0,0,39.94
01/03/2024 01:00:00,0,0,0,39.42
01/03/2024 02:00:00,0,0,0,38.91
01/03/2024 03:00:00,0,0,0,38.92
01/03/2024 04:00:00,0,0,0,38.4
01/03/2024 05:00:00,0,0,0,38.4
01/03/2024 06:00:00,0,0,0,38.4
01/03/2024 07:00:00,0.02,0.02,0,37.88
01/03/2024 08:00:00,4.77,4.77,0,32
01/03/2024 09:00:00,12.39,12.39,0,22.53
01/03/2024 10:00:00,35.87,35.87,6.46,6.91
01/03/2024 11:00:00,64.16,64.16,26.18,0
01/03/2024 12:00:00,62.53,62.53,24.7,0
01/03/2024 13:00:00,67.76,67.76,29.51,0
01/03/2024 14:00:00,52.89,52.89,15.04,0
01/03/2024 15:00:00,37.74,37.74,6.14,4.61
01/03/2024 16:00:00,3.41,3.41,0,34.56
01/03/2024 17:00:00,0,0,0,39.94
01/03/2024 18:00:00,0,0,0,40.19
01/03/2024 19:00:00,0,0,0,39.94
01/03/2024 20:00:00,0,0,0,40.44
01/03/2024 21:00:00,0,0,0,40.2
01/03/2024 22:00:00,0,0,0,39.68
01/03/2024 23:00:00,0,0,0,39.42
01/04/2024 00:00:00,0,0,0,39.17
01/04/2024 01:00:00,0,0,0,39.68
01/04/2024 02:00:00,0,0,0,39.17
01/04/2024 03:00:00,0,0,0,38.4
01/04/2024 04:00:00,0,0,0,38.91
01/04/2024 05:00:00,0,0,0,38.4
01/04/2024 06:00:00,0,0,0,38.4
01/04/2024 07:00:00,0.04,0.04,0,38.14
01/04/2024 08:00:00,11.98,11.98,0,23.55
01/04/2024 09:00:00,38.39,38.39,5.76,4.1
01/04/2024 10:00:00,72.94,72.94,34.43,0
01/04/2024 11:00:00,155.77,155.77,111.94,0
01/04/2024 12:00:00,203.21,203.21,155.39,0
01/04/2024 13:00:00,144.81,144.81,101.12,0
01/04/2024 14:00:00,65.98,65.98,27.26,0
01/04/2024 15:00:00,34.07,34.07,3.4,6.4
01/04/2024 16:00:00,11.13,11.13,0,25.6
01/04/2024 17:00:00,0,0,0,40.7
01/04/2024 18:00:00,0,0,0,40.71
01/04/2024 19:00:00,0,0,0,40.96
01/04/2024 20:00:00,0,0,0,40.45
01/04/2024 21:00:00,0,0,0,40.7
01/04/2024 22:00:00,0,0,0,41.47
01/04/2024 23:00:00,0,0,0,39.68
01/05/2024 00:00:00,0,0,0,38.91
01/05/2024 01:00:00,0,0,0,39.17
01/05/2024 02:00:00,0,0,0,39.17
01/05/2024 03:00:00,0,0,0,39.17
01/05/2024 04:00:00,0,0,0,38.91
01/05/2024 05:00:00,0,0,0,38.91
01/05/2024 06:00:00,0,0,0,38.91
01/05/2024 07:00:00,0.04,0.04,0,38.92
01/05/2024 08:00:00,21.26,21.26,2.3,17.4
01/05/2024 09:00:00,184.23,184.23,138.3,0
01/05/2024 10:00:00,257.84,257.84,207.11,0
01/05/2024 11:00:00,249.62,249.62,199.42,0
01/05/2024 12:00:00,121.36,121.36,79.11,0
01/05/2024 13:00:00,106.45,106.45,65.4,0
01/05/2024 14:00:00,58.13,58.13,22.08,2.31
01/05/2024 15:00:00,30.74,30.74,6.21,12.29
01/05/2024 16:00:00,2.17,2.17,0,36.35
01/05/2024 17:00:00,0,0,0,40.19
01/05/2024 18:00:00,0,0,0,39.94
01/05/2024 19:00:00,0,0,0,40.44
01/05/2024 20:00:00,0,0,0,41.73
01/05/2024 21:00:00,0,0,0,40.71
01/05/2024 22:00:00,0,0,0,40.96
01/05/2024 23:00:00,0,0,0,40.44
01/06/2024 00:00:00,0,0,0,39.68
01/06/2024 01:00:00,0,0,0,39.68
01/06/2024 02:00:00,0,0,0,39.43
01/06/2024 03:00:00,0,0,0,39.68
01/06/2024 04:00:00,0,0,0,39.68
01/06/2024 05:00:00,0,0,0,39.17
01/06/2024 06:00:00,0,0,0,38.65
01/06/2024 07:00:00,0,0,0,39.17
01/06/2024 08:00:00,0.79,0.79,0,37.38
01/06/2024 09:00:00,7.8,7.8,0,27.9
01/06/2024 10:00:00,15.65,15.65,0,19.71
01/06/2024 11:00:00,16.57,16.57,0,18.69
01/06/2024 12:00:00,12.91,12.91,0,23.3
01/06/2024 13:00:00,15.51,15.51,0,20.48
01/06/2024 14:00:00,9.47,9.47,0,26.11
01/06/2024 15:00:00,5.22,5.22,0,30.21
01/06/2024 16:00:00,0.72,0.72,0,37.37
01/06/2024 17:00:00,0,0,0,39.17
01/06/2024 18:00:00,0,0,0,38.91
01/06/2024 19:00:00,0,0,0,39.17
01/06/2024 20:00:00,0,0,0,38.66
01/06/2024 21:00:00,0,0,0,38.65
01/06/2024 22:00:00,0,0,0,39.43
01/06/2024 23:00:00,0,0,0,38.65
01/07/2024 00:00:00,0,0,0,38.4
01/07/2024 01:00:00,0,0,0,38.15
01/07/2024 02:00:00,0,0,0,37.63
01/07/2024 03:00:00,0,0,0,37.12
01/07/2024 04:00:00,0,0,0,37.12
01/07/2024 05:00:00,0,0,0,36.86
01/07/2024 06:00:00,0,0,0,36.35
01/07/2024 07:00:00,0.44,0.44,0,35.84
01/07/2024 08:00:00,22.83,22.83,2.18,14.85
01/07/2024 09:00:00,78.91,78.91,40.89,0
01/07/2024 10:00:00,78.68,78.68,39.56,0
01/07/2024 11:00:00,135.97,135.97,93.31,0
01/07/2024 12:00:00,121.65,121.65,79.55,0
01/07/2024 13:00:00,114.49,114.49,73.41,0
01/07/2024 14:00:00,100.93,100.93,60.73,0
01/07/2024 15:00:00,35.36,35.36,4.16,4.61
01/07/2024 16:00:00,2.98,2.98,0,33.54
01/07/2024 17:00:00,0,0,0,37.88
01/07/2024 18:00:00,0,0,0,38.15
01/07/2024 19:00:00,0,0,0,38.14
01/07/2024 20:00:00,0,0,0,38.66
01/07/2024 21:00:00,0,0,0,38.65
01/07/2024 22:00:00,0,0,0,38.92
01/07/2024 23:00:00,0,0,0,39.16
01/08/2024 00:00:00,0,0,0,38.4
01/08/2024 01:00:00,0,0,0,38.15
01/08/2024 02:00:00,0,0,0,38.14
01/08/2024 03:00:00,0,0,0,37.89
01/08/2024 04:00:00,0,0,0,38.4
01/08/2024 05:00:00,0,0,0,37.38
01/08/2024 06:00:00,0,0,0,38.14
01/08/2024 07:00:00,0.78,0.78,0,58.62
01/08/2024 08:00:00,20.93,20.93,0,70.4
01/08/2024 09:00:00,104.89,104.89,43.52,2.05
01/08/2024 10:00:00,225.49,225.49,159.68,0
01/08/2024 11:00:00,279.33,279.33,200.32,0
01/08/2024 12:00:00,283.13,283.13,207.36,0
01/08/2024 13:00:00,228.93,228.93,137.28,0
01/08/2024 14:00:00,198.01,198.01,107.27,0
01/08/2024 15:00:00,51.42,51.42,5.89,42.24
01/08/2024 16:00:00,6.49,6.49,0,56.32
01/08/2024 17:00:00,0,0,0,60.16
01/08/2024 18:00:00,0,0,0,47.62
01/08/2024 19:00:00,0,0,0,46.33
01/08/2024 20:00:00,0,0,0,46.08
01/08/2024 21:00:00,0,0,0,45.06
01/08/2024 22:00:00,0,0,0,44.8
01/08/2024 23:00:00,0,0,0,44.8
01/09/2024 00:00:00,0,0,0,44.8
01/09/2024 01:00:00,0,0,0,45.06
01/09/2024 02:00:00,0,0,0,44.54
01/09/2024 03:00:00,0,0,0,44.8
01/09/2024 04:00:00,0,0,0,44.8
01/09/2024 05:00:00,0,0,0,44.03
01/09/2024 06:00:00,0,0,0,45.06
01/09/2024 07:00:00,1.85,1.85,0,71.68
01/09/2024 08:00:00,93.41,93.41,10.88,24.57
01/09/2024 09:00:00,212.08,212.08,114.36,0
01/09/2024 10:00:00,284.78,284.78,214.85,0
01/09/2024 11:00:00,325.51,325.51,250.11,0
01/09/2024 12:00:00,332.71,332.71,256.2,0
01/09/2024 13:00:00,285.37,285.37,208.7,0
01/09/2024 14:00:00,181.12,181.12,114.18,0
01/09/2024 15:00:00,57.84,57.84,12.8,15.62
01/09/2024 16:00:00,9.79,9.79,0,48.9
01/09/2024 17:00:00,0,0,0,62.2
01/09/2024 18:00:00,0,0,0,43.52
01/09/2024 19:00:00,0,0,0,37.89
01/09/2024 20:00:00,0,0,0,35.33
01/09/2024 21:00:00,0,0,0,35.33
01/09/2024 22:00:00,0,0,0,35.33
01/09/2024 23:00:00,0,0,0,35.32
01/10/2024 00:00:00,0,0,0,36.1
01/10/2024 01:00:00,0,0,0,35.33
01/10/2024 02:00:00,0,0,0,35.84
01/10/2024 03:00:00,0,0,0,35.58
01/10/2024 04:00:00,0,0,0,35.33
01/10/2024 05:00:00,0,0,0,35.33
01/10/2024 06:00:00,0,0,0,35.58
01/10/2024 07:00:00,2.65,2.65,0,41.47
01/10/2024 08:00:00,81.41,81.41,37.18,4.61
01/10/2024 09:00:00,165.52,165.52,105.47,0
01/10/2024 10:00:00,221.33,221.33,143.36,0
01/10/2024 11:00:00,319.73,319.73,234.69,0
01/10/2024 12:00:00,317.11,317.11,227.78,0
01/10/2024 13:00:00,264.9,264.9,181.37,0
01/10/2024 14:00:00,181.36,181.36,112.77,0
01/10/2024 15:00:00,82.4,82.4,24.58,4.61
01/10/2024 16:00:00,10.9,10.9,0,46.59
01/10/2024 17:00:00,0,0,0,59.39
01/10/2024 18:00:00,0,0,0,51.72
01/10/2024 19:00:00,0,0,0,49.15
01/10/2024 20:00:00,0,0,0,48.89
01/10/2024 21:00:00,0,0,0,48.9
01/10/2024 22:00:00,0,0,0,48.9
01/10/2024 23:00:00,0,0,0,48.89
01/11/2024 00:00:00,0,0,0,48.64
01/11/2024 01:00:00,0,0,0,48.9
01/11/2024 02:00:00,0,0,0,49.41
01/11/2024 03:00:00,0,0,0,49.4
01/11/2024 04:00:00,0,0,0,49.92
01/11/2024 05:00:00,0,0,0,49.92
01/11/2024 06:00:00,0,0,0,49.92
01/11/2024 07:00:00,3.17,3.17,0,55.56
01/11/2024 08:00:00,105.32,105.32,46.08,3.58
01/11/2024 09:00:00,226.9,226.9,156.54,0
01/11/2024 10:00:00,294.66,294.66,221.18,0
